Client version: not initialize
User hash: not initialize
DeviceId hash: not initialize
User gcm token: not initialize
Device params - OS Version: 7.1.1;  Device: Huawei google Nexus 6P ,Build Fingerprint: google/angler/angler:7.1.1/N4F26I/3532671:user/release-keys
01-19 14:48:15.124  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): cookie - ___fnbDropDownState = 1
01-19 14:48:15.124  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): cookie - CheckCookieSupport = 1
01-19 14:48:15.125  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): cookie - CTXSession = 
01-19 14:48:15.125  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): cookie - CVPNPSESSION = 34116452a8e29f0d6fb85d715a276315
01-19 14:48:15.125  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): found session Id with value=1528718602
01-19 14:48:15.125  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): found session host with value=172.24.11.149
01-19 14:48:15.126  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): found session obscure key with value=467793817
01-19 14:48:15.126  1943   675 I Workspace nj.setSiteListShouldBeSaved: Setting Site list should be saved to true
01-19 14:48:15.126  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): error code = 4
01-19 14:48:15.127  1943   675 V Workspace SiteCommunicationResponseHandler.In SiteCommunicationResponse.handleLogin(): need to update policy
01-19 14:48:15.127  1943   645 D Workspace CPMobileService.In Service: got CHECK_SECURITY request
01-19 14:48:15.137  1943   675 D Infrastructure VpnSiteModel.changeState: Site 172.24.11.149 changed state from CONNECTING to CONNECTED_NO_POLICY
01-19 14:48:15.137  1943   675 D Infrastructure VpnSiteModel.changeLeafState: not a leaf state - CONNECTED_NO_POLICY
01-19 14:48:15.137  1943   645 D Workspace CPMobileService.In Service: got GET_POLICY request
01-19 14:48:15.139  1943   645 V Infrastructure CPConnection.startAsyncConnection: Sending connection on threadThread[CPConnectionThread 645,5,main]
01-19 14:48:15.144  1943   677 V Infrastructure CPConnection.prepareConnection: Preparing connection 
01-19 14:48:15.145  1943   677 V Infrastructure CPConnection.prepareConnection: Creating URL: https://172.24.11.149/sslvpn/MobileApp/Portal/CheckPolicy
01-19 14:48:15.146  1943   677 V Infrastructure CPConnection.prepareConnection: Starting connection...	Connect timeout=30000, read timeout=30000
01-19 14:48:15.147  1943   677 V Infrastructure CPConnection.startSyncConnection: Request properties: 
Content-Type=[application/x-www-form-urlencoded]; Cookie=[CVPNPSESSION=34116452a8e29f0d6fb85d715a276315; CPCVPN_SESSION_ID=1528718602;  CPCVPN_BASE_HOST=172.24.11.149; CPCVPN_OBSCURE_KEY=467793817 ]; Referer=[https://172.24.11.149/sslvpn/MobileApp/]; X-CPCVPN-MobileAgent=[App] 
01-19 14:48:15.153  1943   677 V Infrastructure CPConnection.startSyncConnection: Sending: 
CurrentAppPolicyId=0
01-19 14:48:15.172  1943   677 V Infrastructure CPConnection.startSyncConnection: Got http status: 200
01-19 14:48:15.172  1943   677 V Infrastructure CPConnection.getHeaderFields: called
01-19 14:48:15.174  1943   677 V Infrastructure CPConnection.startSyncConnection: Received all input:
{"isAppPolicyCompliant":false,"appPolicyId":"1940285517","appPolicy":{"PolicyKey":"1940285517","mobile_app_settings":{"future_compatibility_fields":{"empty_set_attribute":{"field_name":"wrapping_token","field_value":"***"}},"action_upon_jail_broken_devices":"none","allow_adding_docs_to_new_messages":"true","allow_caching_of_recent_contacts":"true","allow_calendar":"true","allow_contacts":"true","allow_contacts_from_global_address_list":"true","allow_contacts_from_local_phone":"true","allow_copy_paste":"true","allow_mail":"true","allow_meeting_reminders":"true","allow_offline":"true","allow_offline_calendar":"true","allow_offline_contacts":"true","allow_offline_mail":"true","allow_opening_attachments":"false","allow_store_credentials":"false","allow_storing_docs_in_mydocuments":"true","app_passcode_policy":{"allow_simple_passcode":"false","enable_inactivity_time_lock":"true","enable_passcode_expiration":"false","enable_passcode_failed_attempts":"true","enable_passcode_history":"true","max_inactivity_time_lock":"15","max_passcode_failed_attempts":"4","min_passcode_complex_characters":"0","min_passcode_length":"6","passcode_expiration_period":"90","passcode_history":"8","require_alphanumeric_passcode":"false"},"cache_calendar_parts":"headers_and_body","cache_mail_parts":"headers_and_body","calendar_from_offline_interval":"1","calendar_from_offline_interval_unit":"Months","calendar_to_offline_interval":"1","calendar_to_offline_interval_unit":"Months","contact_fields_to_sync_from_app_to_device":{"sync_all_contact_fields":"false","sync_company_field":"false","sync_email_field":"false","sync_first_name_field":"true","sync_home_address_field":"false","sync_last_name_field":"true","sync_phone_number_field":"true"},"contact_fields_to_sync_from_mail_srv_to_app":{"sync_all_contact_fields":"true","sync_company_field":"false","sync_email_field":"true","sync_first_name_field":"true","sync_home_address_field":"false","sync_last_name_field":"true","sync_phone_number_field":"true"},"contacts_synchronizetion_method":"mail_srv_to_app","mail_offline_interval":"14","mail_offline_interval_unit":"Days","max_allowed_attachments_size":"5","max_allowed_attachments_unit":"MBs","reminders_show_location":"true","reminders_show_start_end_time":"true","reminders_show_subject":"true","report_jail_break_detection":"true","request_user_to_send_geo_location":"false","require_app_passcode":"true","restrict_attachments_size":"true","session_timeout":"1","session_timeout_unit":"Weeks","allow_push_notifications":"false"}},"status":"Success","errorMessage":""}
01-19 14:48:15.177  1943   677 V Infrastructure Policy.setBoolFutureFieldInSecureStorage: field: allow_biometric_authentication value: true
01-19 14:48:15.177  1943   677 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 14:48:15.207  1943   677 E Infrastructure SharingPolicy.Couldn't parse key: key_00100_share_protected_extensions. Using default value
01-19 14:48:15.207  1943   677 E Infrastructure SharingPolicy.Couldn't parse key: key_00110_share_unprotected_extensions. Using default value
01-19 14:48:15.208  1943   677 E Infrastructure SharingPolicy.Couldn't parse key: key_00120_open_extensions. Using default value
01-19 14:48:15.208  1943   677 E Infrastructure SharingPolicy.Couldn't parse key: key_00150_accept_protected_extensions. Using default value
01-19 14:48:15.208  1943   677 E Infrastructure SharingPolicy.Couldn't parse key: key_00160_accept_unprotected_extensions. Using default value
01-19 14:48:15.208  1943   677 E Infrastructure SharingPolicy.No default value for key: docs_templates_files, leaving empty
01-19 14:48:15.218  1943   677 V Infrastructure CPConnection.startAsyncConnection: Connection success
01-19 14:48:15.220  1943   677 E Infrastructure Policy.fromJSONObject: failed to construct policy from JSONObject
org.json.JSONException: No value for PolicyKey
	at org.json.JSONObject.get(JSONObject.java:389)
	at org.json.JSONObject.getString(JSONObject.java:550)
	at com.CheckPoint.Infrastructure.Data.Policy.fromJSONObject(SourceFile:659)
	at com.CheckPoint.Infrastructure.Data.VpnSiteModel.getPolicy(SourceFile:199)
	at hx.run(SourceFile:71)
	at com.CheckPoint.Infrastructure.Communication.CPConnection.w(SourceFile:957)
	at com.CheckPoint.Infrastructure.Communication.CPConnection.a(SourceFile:84)
	at ad.run(SourceFile:310)
	at java.lang.Thread.run(Thread.java:761)

01-19 14:48:15.220  1943   677 V Workspace hw.In CheckPolicyResponseHandler.handleCheckPolicy(): policy updated
01-19 14:48:15.221  1943   677 I Workspace SecureStorage.getEnablePasscodeFailedAttempts: Trying to get value.
01-19 14:48:15.221  1943   677 I Workspace SecureStorage.putEnablePasscodeFailedAttempts: Trying to store values.
01-19 14:48:15.227  1943   677 I Workspace SecureStorage.putEnablePasscodeFailedAttempts: Saved successfully!
01-19 14:48:15.227  1943   677 I Workspace SecureStorage.getPasscodeMaxAttempts: Trying to get value.
01-19 14:48:15.227  1943   677 D Workspace SecureStorage.getPasscodeType: Failed to get values.
01-19 14:48:15.228  1943   677 I Workspace SecureStorage.putPasscodeMaxAttempts: Trying to store value.
01-19 14:48:15.236  1943   645 D Workspace CPMobileService.In Service: got SAVE_KTAG request
01-19 14:48:15.247  1943   677 D Infrastructure VpnSiteModel.changeState: Site 172.24.11.149 changed state from CONNECTED_NO_POLICY to CONNECTED_NO_APPLIST
01-19 14:48:15.247  1943   677 D Infrastructure VpnSiteModel.changeLeafState: not a leaf state - CONNECTED_NO_APPLIST
01-19 14:48:15.269  1943   645 V Workspace nh.saveSessionInSP(): session saved
01-19 14:48:15.269  1943   645 D Workspace mb.shouldAskForPasscode: Passcode was not entered in the past.
01-19 14:48:15.269  1943   645 D Workspace mb.saveKeyToGW(): kTag is default key, not sending
01-19 14:48:15.270  1943   645 D Workspace CPMobileService.In Service: got POLICY_UPDATED request
01-19 14:48:15.272  1943   645 I Workspace SecureStorage.putBoolean: Trying to store value.
01-19 14:48:15.274  1943   645 V Workspace SecureStorage.storeToConfigurationFile: Configuration key hash = 4A85FF0FA1477564D6B10F4DC607F9E6FD725567, encrypted value size = 49
01-19 14:48:15.280  1943   645 D Workspace CPMobileService.In Service: got ITERATE_CONNECT request
01-19 14:48:15.280  1943     1 I Workspace LocalBroadcastReceiver.onReceive Got broadcast: Action = Policy.action.POLICY_CHANGED need to load site list? false
01-19 14:48:15.280  1943     1 D Workspace LocalBroadcastReceiver.policy updated Policy.action.POLICY_CHANGED
01-19 14:48:15.281  1943     1 E AppInfra cwj.getKey: Error!
java.lang.NullPointerException: Attempt to invoke interface method 'java.lang.String com.CheckPoint.Infrastructure.Data.Interfaces.AppListInterface.c()' on a null object reference
	at cwj.b(SourceFile:48)
	at cwj.e(SourceFile:106)
	at cvu.onReceive(SourceFile:50)
	at android.support.v4.content.LocalBroadcastManager.executePendingBroadcasts(SourceFile:297)
	at android.support.v4.content.LocalBroadcastManager.access$000(SourceFile:46)
	at android.support.v4.content.LocalBroadcastManager$1.handleMessage(SourceFile:116)
	at android.os.Handler.dispatchMessage(Handler.java:102)
	at android.os.Looper.loop(Looper.java:154)
	at android.app.ActivityThread.main(ActivityThread.java:6119)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:886)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:776)

01-19 14:48:15.282  1943     1 D AppInfra cvt.onReceive: will wait for key
01-19 14:48:15.389  1943   645 D Workspace CPMobileService.In Service: got GET_APPLIST request
01-19 14:48:15.389  1943   645 V Workspace AlarmCenter.setAlarmsscheduling alarms for re-authentication in 604500 seconds, and for session timeout in 604798 seconds
01-19 14:48:15.397  1943   645 V Workspace AlarmCenter.scheduleAlarm: scheduled alarm (code=3001) to 26 Jan 2017 14:43:15 GMT+02:00 [in 6 days (+)]
01-19 14:48:15.398  1943   645 V Workspace AlarmCenter.scheduleAlarm: scheduled alarm (code=3002) to 26 Jan 2017 14:48:13 GMT+02:00 [in 6 days (+)]
01-19 14:48:15.399  1943   645 V Infrastructure CPConnection.startAsyncConnection: Sending connection on threadThread[CPConnectionThread 645,5,main]
01-19 14:48:15.400  1943   681 V Infrastructure CPConnection.prepareConnection: Preparing connection 
01-19 14:48:15.401  1943   681 V Infrastructure CPConnection.prepareConnection: Creating URL: https://172.24.11.149/sslvpn/MobileApp/Portal/GetAppList
01-19 14:48:15.401  1943   681 V Infrastructure CPConnection.prepareConnection: Starting connection...	Connect timeout=30000, read timeout=30000
01-19 14:48:15.402  1943   681 V Infrastructure CPConnection.startSyncConnection: Request properties: 
Content-Type=[application/x-www-form-urlencoded]; Cookie=[CVPNPSESSION=34116452a8e29f0d6fb85d715a276315; CPCVPN_SESSION_ID=1528718602;  CPCVPN_BASE_HOST=172.24.11.149; CPCVPN_OBSCURE_KEY=467793817 ]; Referer=[https://172.24.11.149/sslvpn/MobileApp/]; X-CPCVPN-MobileAgent=[App] 
01-19 14:48:15.447  1943   681 V Infrastructure CPConnection.startSyncConnection: Got http status: 200
01-19 14:48:15.448  1943   681 V Infrastructure CPConnection.getHeaderFields: called
01-19 14:48:15.450  1943   681 V Infrastructure CPConnection.startSyncConnection: Received all input:
{"webAppCount":1,"anyBookmarksFound":true,"totalArraySize":2,"generalAppIndex":2,"additionalAppCount":1,"appTypeIndex":1,"appList":[{"subType":"web","additionalParams":[],"URL":"https:\/\/172.24.11.149\/sslvpn\/Portal\/AccessPortalLink?url=aHR0cDovLzEyNy4wLjAuMS9jbG9ja0FwcGxpY2F0aW9uL2Nsb2NrX2FwcGxpY2F0aW9u","bookmarkID":"READ_ONLY","bookmarkComment":"","appType":"Web application","title":"World Clock","comment":"","accessStatus":0}],"additionalAppList":[{"protocol":0,"userEmail":***,"appId":"s9d4AUG5j5tK71RMvf3d2JWx0Ec=","serverVersion":2007,"forcePortalCreds":true,"hasLicense":true,"appType":"Business Mail Application","title":"Mail Application","comment":"","accessStatus":0}],"allowActiveSyncProfileConfig":0,"allowClientCertExport":0,"l2tpConnectionMode":"Off","androidEmailConnectionMode":"SSL","allowClientTrackerLogs":1,"LinkTransDomainEnable":0,"includeLinkTransDomains":[],"excludeLinkTransDomains":[],"clientSideLinkTransEnable":1,"status":"Success","errorMessage":""}
01-19 14:48:15.454  1943   681 D Workspace AppList.ctor: AppList with licensing
01-19 14:48:15.455  1943   681 D Workspace IconAppItem.Constructing
01-19 14:48:15.455  1943   681 D Workspace MailAppItem.Constructing Mail App.
01-19 14:48:15.456  1943   681 D Workspace IconAppItem.Constructing
01-19 14:48:15.456  1943   681 D Workspace ku.Constructing Secure Messaging.
01-19 14:48:15.457  1943   681 D Workspace IconAppItem.Constructing
01-19 14:48:15.457  1943   681 D Workspace MailAppItem.Constructing Mail App.
01-19 14:48:15.458  1943   681 D Workspace kn.Constructing Calendar App.
01-19 14:48:15.458  1943   681 D Workspace IconAppItem.Constructing
01-19 14:48:15.459  1943   681 D Workspace MailAppItem.Constructing Mail App.
01-19 14:48:15.459  1943   681 D Workspace ko.Constructing Contacts App.
01-19 14:48:15.459  1943   681 D Workspace IconAppItem.Constructing
01-19 14:48:15.460  1943   681 D Workspace kt.Constructing Repository App.
01-19 14:48:15.460  1943   681 V Infrastructure CPConnection.startAsyncConnection: Connection success
01-19 14:48:15.475  1943     1 D AppInfra cwj.onReceive: Received com.checkpoint.common.consts.Action.APP_LIST_SET
01-19 14:48:15.475  1943     1 D AppInfra cwj.onReceive: APP_LIST_SET, sending pending KEY_SET
01-19 14:48:15.481  1943   681 D Infrastructure VpnSiteModel.changeState: Site 172.24.11.149 changed state from CONNECTED_NO_APPLIST to AUTHENTICATED
01-19 14:48:15.482  1943   681 D Infrastructure VpnSiteModel.changeLeafState: not a leaf state - AUTHENTICATED
01-19 14:48:15.482  1943     1 D SecMsg czm.onKeySet, site is disconnected.
01-19 14:48:15.483  1943     1 D AppInfra cwj.onReceive: Received com.checkpoint.common.consts.Action.APP_LIST_SET
01-19 14:48:15.483  1943     1 D AppInfra cwj.onReceive: APP_LIST_SET, sending pending KEY_SET
01-19 14:48:15.492  1943     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.497  1943     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.498  1943     1 E Dashboard zl.setCustomerId: manual enrollment? false
01-19 14:48:15.500  1943     1 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 14:48:15.500  1943     1 I Workspace mb.isApplicationProtectedByPasscode: Application is not protected by passcode.
01-19 14:48:15.500  1943     1 D Workspace mb.getOrCreateKTagForApp: Lock acquired: site ID = 172.24.11.149
01-19 14:48:15.501  1943     1 D Workspace mb.getOrCreateKTagForApp: KeyStore contains 1 entry
01-19 14:48:15.502  1943     1 D Workspace mb.getOrCreateKTagForApp: Creating a new key for appID -1047860588
01-19 14:48:15.526  1943     1 D Workspace mb.saveKeyStore: called
01-19 14:48:15.527  1943     1 D Workspace mb.saveKeyStore: called with CP172.24.11.149.keystore
01-19 14:48:15.527  1943     1 D Workspace mb.storeKeyStoreFileWithPassword: Storing the KeyStore to CP172.24.11.149.keystore
01-19 14:48:15.534  1943     1 D Workspace mb.storeKeyStoreFileWithPassword: file hash = E9D9B8A5CDEC3AA51C48BAF890F63A5D815E4066, size = 267
01-19 14:48:15.534  1943     1 D Workspace mb.storeKeyStoreFileWithPassword: Storing the KeyStore to CP172.24.11.149.keystore_2
01-19 14:48:15.537  1943     1 D Workspace mb.storeKeyStoreFileWithPassword: file hash = 5C04E89234FB909FD7467CE06F8BDCAD60038F35, size = 267
01-19 14:48:15.538  1943     1 D Workspace mb.getOrCreateKTagForApp: Lock released: File = CP172.24.11.149.keystore
01-19 14:48:15.538  1943     1 D AppInfra cwj.getKey: * Got ktag! C1142DDBA9DC384BC7562D0FDE020597F53096EF
01-19 14:48:15.568  1943     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.571  1943     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.573  1943     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.574  1943     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.577  1943     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.577  1943     1 D Dashboard zl.setCustomerId: successfully updated
01-19 14:48:15.579  1943     1 D Dashboard zk.initInstance()
01-19 14:48:15.580  1943     1 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 14:48:15.580  1943     1 I Workspace mb.isApplicationProtectedByPasscode: Application is not protected by passcode.
01-19 14:48:15.581  1943     1 V Workspace mb.getOrCreateKTagForApp: found entry in cache. Site id=172.24.11.149, appId=-1047860588, entry age=1
01-19 14:48:15.581  1943     1 D AppInfra cwj.getKey: * Got ktag! C1142DDBA9DC384BC7562D0FDE020597F53096EF
01-19 14:48:15.581  1943     1 E AppInfra SQLiteOpenHelper.startOpening mParallelDBOpening = 1
01-19 14:48:15.603  1943     1 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.969  1943     1 D AppInfra cwj.onReceive: Received com.checkpoint.common.consts.Action.APP_LIST_SET
01-19 14:48:15.970  1943     1 D AppInfra cwj.onReceive: APP_LIST_SET, sending pending KEY_SET
01-19 14:48:15.970  1943   645 D Workspace CPMobileService.In Service: got ITERATE_CONNECT request
01-19 14:48:15.971  1943   645 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 14:48:15.973  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:15.977  1943   645 I Workspace mb.isApplicationProtectedByPasscode: Application is not protected by passcode.
01-19 14:48:15.977  1943   645 I Infrastructure PasscodePolicy.isPasscodeCompliant: Passcode is not compliant due to: No Passcode.
01-19 14:48:15.988  1943   645 D Infrastructure VpnSiteModel.changeState: Site 172.24.11.149 changed state from AUTHENTICATED to CONNECTED_PASSCODE_NOT_COMPLIANT
01-19 14:48:15.988  1943   645 D Infrastructure VpnSiteModel.changeLeafState: not a leaf state - CONNECTED_PASSCODE_NOT_COMPLIANT
01-19 14:48:15.990  1943   645 D Workspace AlarmCenter.descheduleAlarm: Canceled alarm for id = 3005
01-19 14:48:15.990  1943   684 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.991  1943   645 V Workspace AlarmCenter.scheduleAlarm: scheduled alarm (code=3005) to 19 Jan 2017 14:50:15 GMT+02:00 [in 2 minutes (+)]
01-19 14:48:15.993  1943     1 D Workspace nm.SyncController::handleMessage: got msg from service: type = PASSCODE_NOT_COMPLIANT
01-19 14:48:15.994  1943     1 D Workspace nm.service says: PASSCODE_NOT_COMPLIANT Success: passcode_compliance: 'NO_PASSCODE' 
01-19 14:48:15.994  1943     1 D Workspace BaseCommActivity.BaseCommFragmentActivity: dismissing progress dialog
01-19 14:48:15.994  1943     1 D Workspace BaseCommActivity.dismissCustomProgressDialog: found a dialog to dismiss: AuthScreen_CUSTOM_PROGRESS_DIALOG_TAG
01-19 14:48:15.994  1943   684 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:15.997  1943   684 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:16.002  1943   684 D AppInfra ManageAndWipeDBDataService.registerFile: file name sent to wipeDB
01-19 14:48:16.024  1943     1 D Workspace AuthScreen.onConnectionReply: Got type = 133: PASSCODE_NOT_COMPLIANT reply from service
01-19 14:48:16.024  1943     1 D Workspace AuthScreen.In AuthScreen: got PASSCODE_NOT_COMPLIANT, starting passcode activity
01-19 14:48:16.040  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.048  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.057  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.063  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.063  1943     1 I Workspace lz.onActivityPaused( AuthScreen, Activity HashCode: 218813546, Task ID: 204 ) PAUSED.
01-19 14:48:16.064  1943     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 14:48:16.066  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.069  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.072  1943     1 I Mail CpMailCleaner.setCleanDone: false
01-19 14:48:16.072  1943     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 14:48:16.072  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.078  1943     1 I Calendar CpCalendarCleaner.setCleanDone: false
01-19 14:48:16.078  1943     1 V Contacts akb.setCleanDone(false)
01-19 14:48:16.081  1943     1 I AppInfra cvg.setAlarm: cp.mobile.infra.CpCleanerService.CLEANUP_ALARM was set for Thu Jan 19 20:48:16 GMT+02:00 2017
01-19 14:48:16.141  1943   598 D Workspace BaseCommActivity.********** finalize: class com.CheckPoint.SSLVpn.UI.SiteCreation.CreateNewSite **********
01-19 14:48:16.143  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.149  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.150  1943   598 D Workspace BaseCommActivity.********** finalize: class com.CheckPoint.SSLVpn.UI.SiteTrustScreen **********
01-19 14:48:16.153  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.157  1943   683 D AppInfra ManageAndWipeDBDataService.onHandleIntent: action is : com.CheckPoint.Infrastructure.Data.GlobalConstants.intent.action.ADD_FILE_OF_SITE_RECORD
01-19 14:48:16.256  1943     1 I Workspace lz.onActivityCreated( PasscodeActivity, Activity HashCode: 102161108, Task ID: 205, null ) CREATED.
01-19 14:48:16.256  1943     1 I Workspace lz.checkIfPasscodeIsNeeded( PasscodeActivity, configurationChange = false ):
01-19 14:48:16.256  1943     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 14:48:16.256  1943     1 D Workspace lz.checkIfPasscodeIsNeeded: Passcode is not needed.
01-19 14:48:16.257  1943     1 V Workspace BaseCommActivity.BaseCommActivity::onCreate class com.CheckPoint.SSLVpn.UI.Passcode.PasscodeActivity
01-19 14:48:16.269  1943     1 V Workspace PasscodeActivity.initializeMembers: id = -1, opaque =-1
01-19 14:48:16.269  1943     1 V Workspace PasscodeActivity.initializeMembersBundle[{with_cplocker=true, site_name=172.24.11.149, passcode_compliance=NO_PASSCODE, Run_After_Success=Intent { cmp=com.CheckPoint.SSLVpn/.UI.AppList.AppListScreen }, Caller=AuthScreen, invoked_by_wrapped_app=false}]
01-19 14:48:16.269  1943     1 D Workspace PasscodeActivity.initializeMembers: Site is 172.24.11.149 Policy is: not null.
01-19 14:48:16.269  1943     1 D Workspace AppManager.::isApplicationLocked: Application is locked? false
01-19 14:48:16.269  1943     1 D Workspace PasscodeActivity.::onCreate: Creating a new passcode.
01-19 14:48:16.270  1943     1 D Workspace AppManager.::isApplicationLocked: Application is locked? false
01-19 14:48:16.271  1943     1 I Workspace lz.onActivityStarted( PasscodeActivity, Activity HashCode: 102161108, Task ID: 205 ) STARTED!
01-19 14:48:16.281  1943     1 I Infrastructure Policy.fromJSONObject: Stored policy scheme version: 1 Current policy scheme version: 1
01-19 14:48:16.282  1943     1 E Infrastructure SharingPolicy.Couldn't parse key: key_00100_share_protected_extensions. Using default value
01-19 14:48:16.282  1943     1 E Infrastructure SharingPolicy.Couldn't parse key: key_00110_share_unprotected_extensions. Using default value
01-19 14:48:16.282  1943     1 E Infrastructure SharingPolicy.Couldn't parse key: key_00120_open_extensions. Using default value
01-19 14:48:16.283  1943     1 E Infrastructure SharingPolicy.Couldn't parse key: key_00150_accept_protected_extensions. Using default value
01-19 14:48:16.283  1943     1 E Infrastructure SharingPolicy.Couldn't parse key: key_00160_accept_unprotected_extensions. Using default value
01-19 14:48:16.283  1943     1 E Infrastructure SharingPolicy.No default value for key: docs_templates_files, leaving empty
01-19 14:48:16.287  1943     1 I Workspace hk.getROMManufacturer: ROM manufacturer is google
01-19 14:48:16.289  1943     1 I Workspace lz.onActivityResumed( PasscodeActivity, Activity HashCode: 102161108, Task ID: 205 ) RESUMED.
01-19 14:48:16.289  1943     1 D Workspace lz.onActivityResumed: Active activities: 2
01-19 14:48:16.289  1943     1 W Workspace AlarmCenter.descheduleAlarm: failed to find a pending intent for alarm id = 3003
01-19 14:48:16.289  1943     1 I Workspace mb.appFrameworkRecovery: Starting.
01-19 14:48:16.289  1943     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 14:48:16.291  1943     1 I AppInfra cvg.cancelAlarm: Canceled alarm for intent cp.mobile.infra.CpCleanerService.CLEANUP_ALARM
01-19 14:48:16.291  1943     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 14:48:16.291  1943     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 14:48:16.291  1943     1 W Workspace SecureStorage.readFromSecureStorage: Nothing is saved for key = mail_next_clean_time
01-19 14:48:16.292  1943     1 I Mail CpMailCleaner.checkIfCleanNeeded: needed!  Clean time was set for Thu Jan 01 02:00:00 GMT+02:00 1970
01-19 14:48:16.292  1943     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
01-19 14:48:16.292  1943     1 D Workspace SecureStorage.isVariablesInitiated: Variables are initialized.
